Date,Close
09FEB2017,2307.870117
10FEB2017,2316.100098
11FEB2017,2316.100098
12FEB2017,2316.100098
13FEB2017,2328.25
14FEB2017,2337.580078
15FEB2017,2349.25
16FEB2017,2347.219971
17FEB2017,2351.159912
18FEB2017,2351.159912
19FEB2017,2351.159912
20FEB2017,2351.159912
21FEB2017,2365.379883
22FEB2017,2362.820068
23FEB2017,2363.810059
24FEB2017,2367.340088
25FEB2017,2367.340088
26FEB2017,2367.340088
27FEB2017,2369.75
28FEB2017,2363.639893
01MAR2017,2395.959961
02MAR2017,2381.919922
03MAR2017,2383.120117
04MAR2017,2383.120117
05MAR2017,2383.120117
06MAR2017,2375.310059
07MAR2017,2368.389893
08MAR2017,2362.97998
09MAR2017,2364.870117
10MAR2017,2372.600098
11MAR2017,2372.600098
12MAR2017,2372.600098
13MAR2017,2373.469971
14MAR2017,2365.449951
15MAR2017,2385.26001
16MAR2017,2381.379883
17MAR2017,2378.25
18MAR2017,2378.25
19MAR2017,2378.25
20MAR2017,2373.469971
21MAR2017,2344.02002
22MAR2017,2348.449951
23MAR2017,2345.959961
24MAR2017,2343.97998
25MAR2017,2343.97998
26MAR2017,2343.97998
27MAR2017,2341.590088
28MAR2017,2358.570068
29MAR2017,2361.129883
30MAR2017,2368.060059
31MAR2017,2362.719971
01APR2017,2362.719971
02APR2017,2362.719971
03APR2017,2358.840088
04APR2017,2360.159912
05APR2017,2352.949951
06APR2017,2357.48999
07APR2017,2355.540039
08APR2017,2355.540039
09APR2017,2355.540039
10APR2017,2357.159912
11APR2017,2353.780029
12APR2017,2344.929932
13APR2017,2328.949951
14APR2017,2328.949951
15APR2017,2328.949951
16APR2017,2328.949951
17APR2017,2349.01001
18APR2017,2342.189941
19APR2017,2338.169922
20APR2017,2355.840088
21APR2017,2348.689941
22APR2017,2348.689941
23APR2017,2348.689941
24APR2017,2374.149902
25APR2017,2388.610107
26APR2017,2387.449951
27APR2017,2388.77002
28APR2017,2384.199951
29APR2017,2384.199951
30APR2017,2384.199951
01MAY2017,2388.330078
02MAY2017,2391.169922
03MAY2017,2388.129883
04MAY2017,2389.52002
05MAY2017,2399.290039
06MAY2017,2399.290039
07MAY2017,2399.290039
08MAY2017,2399.379883
09MAY2017,2396.919922
10MAY2017,2399.629883
11MAY2017,2394.439941
12MAY2017,2390.899902
13MAY2017,2390.899902
14MAY2017,2390.899902
15MAY2017,2402.320068
16MAY2017,2400.669922
17MAY2017,2357.030029
18MAY2017,2365.719971
19MAY2017,2381.72998
20MAY2017,2381.72998
21MAY2017,2381.72998
22MAY2017,2394.02002
23MAY2017,2398.419922
24MAY2017,2404.389893
25MAY2017,2415.070068
26MAY2017,2415.820068
27MAY2017,2415.820068
28MAY2017,2415.820068
29MAY2017,2415.820068
30MAY2017,2412.909912
31MAY2017,2411.800049
01JUN2017,2430.060059
02JUN2017,2439.070068
03JUN2017,2439.070068
04JUN2017,2439.070068
05JUN2017,2436.100098
06JUN2017,2429.330078
07JUN2017,2433.139893
08JUN2017,2433.790039
09JUN2017,2431.77002
10JUN2017,2431.77002
11JUN2017,2431.77002
12JUN2017,2429.389893
13JUN2017,2440.350098
14JUN2017,2437.919922
15JUN2017,2432.459961
16JUN2017,2433.149902
17JUN2017,2433.149902
18JUN2017,2433.149902
19JUN2017,2453.459961
20JUN2017,2437.030029
21JUN2017,2435.610107
22JUN2017,2434.5
23JUN2017,2438.300049
24JUN2017,2438.300049
25JUN2017,2438.300049
26JUN2017,2439.070068
27JUN2017,2419.379883
28JUN2017,2440.689941
29JUN2017,2419.699951
30JUN2017,2423.409912
01JUL2017,2423.409912
02JUL2017,2423.409912
03JUL2017,2429.01001
04JUL2017,2429.01001
05JUL2017,2432.540039
06JUL2017,2409.75
07JUL2017,2425.179932
08JUL2017,2425.179932
09JUL2017,2425.179932
10JUL2017,2427.429932
11JUL2017,2425.530029
12JUL2017,2443.25
13JUL2017,2447.830078
14JUL2017,2459.27002
15JUL2017,2459.27002
16JUL2017,2459.27002
17JUL2017,2459.139893
18JUL2017,2460.610107
19JUL2017,2473.830078
20JUL2017,2473.449951
21JUL2017,2472.540039
22JUL2017,2472.540039
23JUL2017,2472.540039
24JUL2017,2469.909912
25JUL2017,2477.129883
26JUL2017,2477.830078
27JUL2017,2475.419922
28JUL2017,2472.100098
29JUL2017,2472.100098
30JUL2017,2472.100098
31JUL2017,2470.300049
01AUG2017,2476.350098
02AUG2017,2477.570068
03AUG2017,2472.159912
04AUG2017,2476.830078
