Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
21APR2016,21APR2016,19536.91565,1411.318424,16770.782369,22303.048932,1028.0843496
22APR2016,22APR2016,19593.521818,1411.318424,16827.388536,22359.6551,972.47818202
23APR2016,23APR2016,19641.98152,1411.318424,16875.848239,22408.114802,925.0184795
24APR2016,24APR2016,19612.772965,1411.318424,16846.639683,22378.906247,955.22703494
25APR2016,25APR2016,19557.016647,1411.318424,16790.883365,22323.149928,1011.9833534
26APR2016,26APR2016,19560.768602,1411.318424,16794.63532,22326.901883,1009.2313984
27APR2016,27APR2016,19615.25028,1411.318424,16849.116998,22381.383562,955.74971993
28APR2016,28APR2016,19637.001259,1411.318424,16870.867977,22403.134541,934.99874101
29APR2016,29APR2016,19597.537113,1411.318424,16831.403831,22363.670394,975.46288734
30APR2016,30APR2016,19561.78834,1411.318424,16795.655058,22327.921621,1012.2116604
01MAY2016,01MAY2016,19584.231106,1411.318424,16818.097824,22350.364388,990.76889422
02MAY2016,02MAY2016,19628.168812,1411.318424,16862.03553,22394.302094,947.83118825
03MAY2016,03MAY2016,19627.827466,1411.318424,16861.694184,22393.960748,949.17253404
04MAY2016,04MAY2016,19588.848727,1411.318424,16822.715445,22354.982008,989.15127341
05MAY2016,05MAY2016,19573.731735,1411.318424,16807.598453,22339.865017,1005.268265
06MAY2016,06MAY2016,19604.292024,1411.318424,16838.158742,22370.425306,975.70797581
07MAY2016,07MAY2016,19632.897311,1411.318424,16866.764029,22399.030593,948.10268876
08MAY2016,08MAY2016,19618.691402,1411.318424,16852.558121,22384.824684,963.30859763
09MAY2016,09MAY2016,19587.573676,1411.318424,16821.440395,22353.706958,995.42632359
10MAY2016,10MAY2016,19588.533685,1411.318424,16822.400403,22354.666967,995.46631487
11MAY2016,11MAY2016,19619.065356,1411.318424,16852.932074,22385.198637,965.93464446
12MAY2016,12MAY2016,19632.808426,1411.318424,16866.675144,22398.941708,953.19157381
13MAY2016,13MAY2016,19612.038769,1411.318424,16845.905488,22378.172051,974.96123073
14MAY2016,14MAY2016,19591.873312,1411.318424,16825.74003,22358.006593,996.12668835
15MAY2016,15MAY2016,19603.674548,1411.318424,16837.541266,22369.807829,985.32545231
16MAY2016,16MAY2016,19628.687337,1411.318424,16862.554056,22394.820619,961.31266259
17MAY2016,17MAY2016,19630.100765,1411.318424,16863.967483,22396.234047,960.89923512
18MAY2016,18MAY2016,19609.168173,1411.318424,16843.034892,22375.301455,982.83182651
19MAY2016,19MAY2016,19600.188219,1411.318424,16834.054937,22366.321501,992.81178086
20MAY2016,20MAY2016,19616.942124,1411.318424,16850.808842,22383.075405,977.05787638
