Date,Close,FORECAST,STD,L95,U95,RESIDUAL
29FEB2016,1932.22998,1948.9190487,26.66741113,1896.6518834,2001.1862141,-16.68906874
01MAR2016,1978.349976,1935.5990356,26.66741113,1883.3318702,1987.866201,42.750940417
02MAR2016,1986.449951,1972.3250126,26.66741113,1920.0578472,2024.592178,14.12493842
03MAR2016,1993.400024,1984.9490987,26.66741113,1932.6819333,2037.2162641,8.4509252945
04MAR2016,1999.98999,1992.7959042,26.66741113,1940.5287388,2045.0630696,7.1940858095
05MAR2016,1999.98999,1999.5845036,26.66741113,1947.3173383,2051.851669,0.4054863608
06MAR2016,1999.98999,2000.6573876,26.66741113,1948.3902222,2052.924553,-0.667397596
07MAR2016,2001.76001,2000.8269483,26.66741113,1948.559783,2053.0941137,0.9330616582
08MAR2016,1979.26001,2002.3440285,26.66741113,1950.0768632,2054.6111939,-23.08401853
09MAR2016,1989.26001,1983.6397364,26.66741113,1931.372571,2035.9069017,5.6202736469
10MAR2016,1989.569946,1989.1032521,26.66741113,1936.8360867,2041.3704175,0.4666939106
11MAR2016,2022.189941,1990.2276702,26.66741113,1937.9605049,2042.4948356,31.962270769
12MAR2016,2022.189941,2017.8700407,26.66741113,1965.6028753,2070.1372061,4.3199002962
13MAR2016,2022.189941,2022.2386967,26.66741113,1969.9715313,2074.5058621,-0.048755718
14MAR2016,2019.640015,2022.9291279,26.66741113,1970.6619626,2075.1962933,-3.289112931
15MAR2016,2015.930054,2020.8913145,26.66741113,1968.6241491,2073.1584799,-4.961260524
16MAR2016,2027.219971,2017.4456231,26.66741113,1965.1784577,2069.7127885,9.7743478957
17MAR2016,2040.589966,2026.4066948,26.66741113,1974.1395294,2078.6738602,14.183271188
18MAR2016,2049.580078,2039.0798947,26.66741113,1986.8127293,2091.3470601,10.500183323
19MAR2016,2049.580078,2048.6520893,26.66741113,1996.3849239,2100.9192547,0.9279886839
20MAR2016,2049.580078,2050.1648983,26.66741113,1997.8977329,2102.4320637,-0.584820274
21MAR2016,2051.600098,2050.4039857,26.66741113,1998.1368203,2102.671151,1.1961123448
22MAR2016,2049.800049,2052.1425435,26.66741113,1999.8753781,2104.4097088,-2.34249447
23MAR2016,2036.709961,2050.901743,26.66741113,1998.6345777,2103.1689084,-14.19178203
24MAR2016,2035.939941,2039.6843404,26.66741113,1987.417175,2091.9515057,-3.744399351
25MAR2016,2035.939941,2037.2631949,26.66741113,1984.9960295,2089.5303603,-1.323253909
26MAR2016,2035.939941,2036.8805522,26.66741113,1984.6133868,2089.1477176,-0.940611197
27MAR2016,2035.939941,2036.8200786,26.66741113,1984.5529132,2089.0872439,-0.880137571
28MAR2016,2037.050049,2036.8105212,26.66741113,1984.5433558,2089.0776866,0.2395278033
29MAR2016,2055.01001,2037.743675,26.66741113,1985.4765096,2090.0108404,17.266334979
30MAR2016,2063.949951,2053.0126851,26.66741113,2000.7455197,2105.2798504,10.937265946
31MAR2016,2059.73999,2062.9528849,26.66741113,2010.6857195,2115.2200503,-3.212894896
