DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2016-07-17,4725,4224.0320264,930.45567924,2400.3724059,6047.6916469,500.96797358
2016-07-24,4627,4288.6732199,930.45567924,2465.0135994,6112.3328404,338.32678013
2016-07-31,4749,3882.1703985,930.45567924,2058.510778,5705.830019,866.8296015
2016-08-07,5022,4134.763229,930.45567924,2311.1036085,5958.4228495,887.23677097
2016-08-14,4892,4504.8249255,930.45567924,2681.165305,6328.4845461,387.17507445
2016-08-21,4618,4325.1471042,930.45567924,2501.4874836,6148.8067247,292.85289584
2016-08-28,5238,4132.184842,930.45567924,2308.5252215,5955.8444625,1105.815158
2016-09-04,4785,4563.8119983,930.45567924,2740.1523778,6387.4716188,221.18800169
2016-09-11,4736,4165.9516613,930.45567924,2342.2920408,5989.6112818,570.04833872
2016-09-18,4327,4115.1418035,930.45567924,2291.482183,5938.801424,211.85819647
2016-09-25,4185,3479.8084712,930.45567924,1656.1488506,5303.4680917,705.19152884
2016-10-02,4417,3620.2960759,930.45567924,1796.6364554,5443.9556964,796.70392407
2016-10-09,4305,3906.9120102,930.45567924,2083.2523896,5730.5716307,398.08798984
2016-10-16,4455,3827.1159038,930.45567924,2003.4562833,5650.7755243,627.88409619
2016-10-23,4535,3823.6848821,930.45567924,2000.0252616,5647.3445026,711.31511791
2016-10-30,4131,4194.6294047,930.45567924,2370.9697842,6018.2890252,-63.62940469
2016-11-06,3866,3524.2769296,930.45567924,1700.6173091,5347.9365501,341.72307042
2016-11-13,4145,3247.9701886,930.45567924,1424.3105681,5071.6298091,897.02981139
2016-11-20,2655,3491.630994,930.45567924,1667.9713734,5315.2906145,-836.630994
2016-11-27,4168,1857.6288115,930.45567924,33.969190967,3681.288432,2310.3711885
2016-12-04,3035,3936.8801713,930.45567924,2113.2205508,5760.5397918,-901.8801713
2016-12-11,3753,2386.2956,930.45567924,562.63597953,4209.9552206,1366.7044
2016-12-18,4815,3676.7232301,930.45567924,1853.0636096,5500.3828506,1138.2767699
2016-12-25,3533,4489.7584445,930.45567924,2666.0988239,6313.418065,-956.7584445
2017-01-01,4541,3199.3645425,930.45567924,1375.704922,5023.024163,1341.6354575
2017-01-08,4100,3847.6340831,930.45567924,2023.9744626,5671.2937036,252.36591689
2017-01-15,3755,3757.0481174,930.45567924,1933.3884968,5580.7077379,-2.048117355
2017-01-22,3983,2759.7687993,930.45567924,936.1091788,4583.4284198,1223.2312007
2017-01-29,3169,3688.4685503,930.45567924,1864.8089298,5512.1281708,-519.4685503
2017-02-05,3282,2382.3773177,930.45567924,558.71769714,4206.0369382,899.62268235
2017-02-12,3047,2852.7651781,930.45567924,1029.1055576,4676.4247986,194.23482193
2017-02-19,3517,2816.230776,930.45567924,992.57115548,4639.8903965,700.76922401
2017-02-26,3704,3015.9430436,930.45567924,1192.2834231,4839.6026642,688.05695635
2017-03-05,4034,3329.7448578,930.45567924,1506.0852373,5153.4044783,704.25514219
2017-03-12,3936,3888.6349079,930.45567924,2064.9752874,5712.2945284,47.365092131
2017-03-19,4115,3302.7315426,930.45567924,1479.0719221,5126.3911631,812.2684574
2017-03-26,4397,3968.1058676,930.45567924,2144.4462471,5791.7654881,428.89413242
2017-04-02,5050,3710.1616379,930.45567924,1886.5020174,5533.8212584,1339.8383621
2017-04-09,4703,4740.3770412,930.45567924,2916.7174207,6564.0366617,-37.37704121
2017-04-16,4394,3972.1165821,930.45567924,2148.4569616,5795.7762026,421.88341791
2017-04-23,5013,3862.351957,930.45567924,2038.6923365,5686.0115775,1150.648043
2017-04-30,5400,4457.3586284,930.45567924,2633.6990079,6281.018249,942.64137156
2017-05-07,4773,5092.779332,930.45567924,3269.1197115,6916.4389526,-319.779332
2017-05-14,5233,3887.6228267,930.45567924,2063.9632062,5711.2824473,1345.3771733
2017-05-21,5120,4704.8212608,930.45567924,2881.1616403,6528.4808813,415.17873916
2017-05-28,4576,4358.6248391,930.45567924,2534.9652186,6182.2844596,217.37516093
2017-06-04,5512,4132.706618,930.45567924,2309.0469975,5956.3662385,1379.293382
2017-06-11,5306,4808.4492269,930.45567924,2984.7896064,6632.1088475,497.55077306
2017-06-18,5544,4639.9315321,930.45567924,2816.2719116,6463.5911527,904.06846786
2017-06-25,5921,5019.1939518,930.45567924,3195.5343313,6842.8535723,901.80604818
2017-07-02,4625,5516.5595396,930.45567924,3692.8999191,7340.2191601,-891.5595396
2017-07-09,5939,3603.1929947,930.45567924,1779.5333741,5426.8526152,2335.8070053
2017-07-16,5839,5465.7170932,930.45567924,3642.0574726,7289.3767137,373.28290684
2017-07-23,5753,5108.6446535,930.45567924,3284.985033,6932.304274,644.3553465
2017-07-30,5534,5019.8681099,930.45567924,3196.2084894,6843.5277304,514.13189012
2017-08-06,5444,4704.2912799,930.45567924,2880.6316594,6527.9509005,739.70872006
2017-08-13,5371,4959.4775799,930.45567924,3135.8179594,6783.1372004,411.52242011
2017-08-20,5218,4550.4912087,930.45567924,2726.8315882,6374.1508292,667.50879126
2017-08-27,5205,4726.5272896,930.45567924,2902.8676691,6550.1869101,478.47271039
2017-09-03,4358,3951.6427107,930.45567924,2127.9830902,5775.3023312,406.3572893
2017-09-10,5087,3827.5901411,930.45567924,2003.9305205,5651.2497616,1259.4098589
2017-09-17,4980,4565.037093,930.45567924,2741.3774725,6388.6967135,414.96290697
2017-09-24,4604,4445.5717479,930.45567924,2621.9121274,6269.2313684,158.42825212
2017-10-01,4600,3966.8951862,930.45567924,2143.2355657,5790.5548068,633.10481375
2017-10-08,4271,3991.3102477,930.45567924,2167.6506272,5814.9698682,279.68975232
2017-10-15,4136,3613.4283986,930.45567924,1789.7687781,5437.0880191,522.57160143
2017-10-22,3757,3472.3966247,930.45567924,1648.7370042,5296.0562453,284.60337526
2017-10-29,2321,3053.3328633,930.45567924,1229.6732428,4876.9924838,-732.3328633
2017-11-05,3317,1439.2801163,930.45567924,-384.3795042,3262.9397368,1877.7198837
2017-11-12,3479,3088.575275,930.45567924,1264.9156545,4912.2348955,390.42472497
2017-11-19,2340,3192.4941346,930.45567924,1368.8345141,5016.1537551,-852.4941346
2017-11-26,3670,1857.3155672,930.45567924,33.655946647,3680.9751877,1812.6844328
2017-12-03,3441,3420.9718872,930.45567924,1597.3122667,5244.6315077,20.0281128
2017-12-10,2332,3199.8945164,930.45567924,1376.2348959,5023.554137,-867.8945164
2017-12-17,2009,1829.5020722,930.45567924,5.8424517096,3653.1616927,179.49792778
2017-12-24,2089,1389.3350876,930.45567924,-434.3245329,3212.9947081,699.66491241
2017-12-31,3639,1383.5127458,930.45567924,-440.1468747,3207.1723663,2255.4872542
2018-01-07,3635,3744.8426226,930.45567924,1921.1830021,5568.5022431,-109.8426226
2018-01-14,2673,3644.0904431,930.45567924,1820.4308226,5467.7500636,-971.0904431
2018-01-21,3911,2056.1067983,930.45567924,232.44717783,3879.7664189,1854.8932017
2018-01-28,3284,3991.1465814,930.45567924,2167.4869609,5814.806202,-707.1465814
2018-02-04,3192,3027.4091556,930.45567924,1203.7495351,4851.0687762,164.59084435
2018-02-11,3961,2356.8513058,930.45567924,533.19168525,4180.5109263,1604.1486942
2018-02-18,4400,3138.28705,930.45567924,1314.6274294,4961.9466705,1261.71295
2018-02-25,4411,4100.7131402,930.45567924,2277.0535197,5924.3727607,310.28685981
2018-03-04,3643,4445.0024177,930.45567924,2621.3427972,6268.6620382,-802.0024177
2018-03-11,3759,3360.5737585,930.45567924,1536.914138,5184.2333791,398.42624145
2018-03-18,3688,2864.9219542,930.45567924,1041.2623337,4688.5815747,823.07804577
2018-03-25,3398,3317.4956027,930.45567924,1493.8359822,5141.1552232,80.504397311
2018-04-01,4835,2561.2243004,930.45567924,737.56467991,4384.8839209,2273.7756996
2018-04-08,4396,4205.7475386,930.45567924,2382.0879181,6029.4071591,190.2524614
2018-04-15,5002,4119.2460027,930.45567924,2295.5863822,5942.9056232,882.75399732
2018-04-22,5058,5179.0793269,930.45567924,3355.4197063,7002.7389474,-121.0793269
2018-04-29,5511,4704.7245852,930.45567924,2881.0649646,6528.3842057,806.27541484
2018-05-06,5113,4933.8178059,930.45567924,3110.1581853,6757.4774264,179.18219414
2018-05-13,5525,3952.6737035,930.45567924,2129.0140829,5776.333324,1572.3262965
2018-05-20,5264,4941.8167522,930.45567924,3118.1571317,6765.4763727,322.18324778
2018-05-27,4752,4113.1595602,930.45567924,2289.4999397,5936.8191807,638.84043979
2018-06-03,5894,4525.4878313,930.45567924,2701.8282108,6349.1474518,1368.5121687
2018-06-10,5304,5398.4494263,930.45567924,3574.7898058,7222.1090468,-94.44942633
2018-06-17,5467,4907.9281482,930.45567924,3084.2685276,6731.5877687,559.07185185
2018-06-24,5667,4605.662177,930.45567924,2782.0025565,6429.3217975,1061.337823
2018-07-01,5517,4948.6302752,930.45567924,3124.9706547,6772.2898958,568.36972476
2018-07-08,5671,4638.7515064,930.45567924,2815.0918859,6462.4111269,1032.2484936
2018-07-15,5256,5102.152191,930.45567924,3278.4925705,6925.8118115,153.84780903
2018-07-22,5190,4516.7283148,930.45567924,2693.0686942,6340.3879353,673.27168524
2018-07-29,5239,4475.2362629,930.45567924,2651.5766424,6298.8958834,763.7637371
2018-08-05,4825,4728.7134272,930.45567924,2905.0538067,6552.3730477,96.28657279
2018-08-12,4749,4032.8650715,930.45567924,2209.205451,5856.524692,716.13492853
2018-08-19,5215,3872.4053463,930.45567924,2048.7457258,5696.0649669,1342.5946537
2018-08-26,5248,4724.7810244,930.45567924,2901.1214039,6548.4406449,523.21897559
2018-09-02,4826,4693.8308646,930.45567924,2870.1712441,6517.4904851,132.16913538
2018-09-09,5360,4314.4038165,930.45567924,2490.744196,6138.063437,1045.5961835
2018-09-16,4996,4773.9402356,930.45567924,2950.2806151,6597.5998561,222.05976442
2018-09-23,4279,4315.1582368,930.45567924,2491.4986163,6138.8178573,-36.15823681
2018-09-30,4364,3540.8053755,930.45567924,1717.145755,5364.464996,823.19462449
2018-10-07,3981,3477.523222,930.45567924,1653.8636015,5301.1828425,503.47677796
2018-10-14,3980,3235.2939022,930.45567924,1411.6342817,5058.9535227,744.70609783
2018-10-21,3882,3575.6094175,930.45567924,1751.949797,5399.269038,306.39058247
2018-10-28,3782,3448.8409235,930.45567924,1625.181303,5272.500544,333.15907649
2018-11-04,3596,3263.4560451,930.45567924,1439.7964246,5087.1156656,332.54395487
2018-11-11,3096,3183.8036209,930.45567924,1360.1440004,5007.4632415,-87.80362094
2018-11-18,2382,2567.4481441,930.45567924,743.78852355,4391.1077646,-185.4481441
2018-11-25,3859,1542.7136345,930.45567924,-280.945986,3366.373255,2316.2863655
2018-12-02,3355,3637.5733761,930.45567924,1813.9137556,5461.2329966,-282.5733761
2018-12-09,3144,2938.3040812,930.45567924,1114.6444607,4761.9637017,205.69591877
2018-12-16,2867,2971.3211895,930.45567924,1147.661569,4794.98081,-104.3211895
2018-12-23,2247,2352.1664933,930.45567924,528.5068728,4175.8261138,-105.1664933
2018-12-30,3004,1938.6595672,930.45567924,114.99994672,3762.3191877,1065.3404328
2019-01-06,3678,2515.1680438,930.45567924,691.50842326,4338.8276643,1162.8319562
2019-01-13,3208,3372.4069852,930.45567924,1548.7473646,5196.0666057,-164.4069852
2019-01-20,3247,2463.3578797,930.45567924,639.69825915,4287.0175002,783.64212033
2019-01-27,3027,3382.1614393,930.45567924,1558.5018188,5205.8210599,-355.1614393
2019-02-03,4566,2711.291277,930.45567924,887.63165646,4534.9508975,1854.708723
2019-02-10,4398,4511.9404034,930.45567924,2688.2807829,6335.6000239,-113.9404034
2019-02-17,4556,3723.9892448,930.45567924,1900.3296243,5547.6488653,832.01075523
2019-02-24,5028,4003.2399962,930.45567924,2179.5803757,5826.8996167,1024.7600038
2019-03-03,4542,4404.0301088,930.45567924,2580.3704883,6227.6897293,137.96989117
2019-03-10,5667,4397.6441341,930.45567924,2573.9845136,6221.3037546,1269.3558659
2019-03-17,5984,5051.4866493,930.45567924,3227.8270287,6875.1462698,932.51335075
2019-03-24,5630,5591.7886679,930.45567924,3768.1290474,7415.4482884,38.211332068
2019-03-31,5585,4657.8587098,930.45567924,2834.1990893,6481.5183303,927.14129019
2019-04-07,4624,5048.3026964,930.45567924,3224.6430759,6871.9623169,-424.3026964
2019-04-14,4094,3632.2154453,930.45567924,1808.5558248,5455.8750658,461.78455468
2019-04-21,5155,3202.3140584,930.45567924,1378.6544379,5025.9736789,1952.6859416
