DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2015-07-12,5295,4708.9037381,650.86726571,3433.2273386,5984.5801376,586.09626189
2015-07-19,4708,5009.1584279,650.86726571,3733.4820284,6284.8348274,-301.1584279
2015-07-26,5029,4560.6864103,650.86726571,3285.0100108,5836.3628098,468.31358969
2015-08-02,5419,4805.9326073,650.86726571,3530.2562078,6081.6090069,613.06739266
2015-08-09,5092,5103.8952766,650.86726571,3828.2188771,6379.5716761,-11.89527664
2015-08-16,4901,4854.0650385,650.86726571,3578.388639,6129.741438,46.934961463
2015-08-23,4334,4708.1397313,650.86726571,3432.4633318,5983.8161308,-374.1397313
2015-08-30,5429,4274.9478505,650.86726571,2999.271451,5550.62425,1154.0521495
2015-09-06,4166,5111.5353451,650.86726571,3835.8589456,6387.2117446,-945.5353451
2015-09-13,4532,4146.5947007,650.86726571,2870.9183012,5422.2711002,385.40529932
2015-09-20,3069,4426.2212057,650.86726571,3150.5448062,5701.8976052,-1357.221206
2015-09-27,3876,3308.4791924,650.86726571,2032.8027929,4584.1555919,567.52080757
2015-10-04,3737,3925.0327158,650.86726571,2649.3563163,5200.7091153,-188.0327158
2015-10-11,3710,3818.8357645,650.86726571,2543.1593649,5094.512164,-108.8357645
2015-10-18,3623,3798.2075797,650.86726571,2522.5311801,5073.8839792,-175.2075797
2015-10-25,3283,3731.7389842,650.86726571,2456.0625847,5007.4153837,-448.7389842
2015-11-01,3311,3471.9766571,650.86726571,2196.3002576,4747.6530566,-160.9766571
2015-11-08,3330,3493.3688488,650.86726571,2217.6924493,4769.0452483,-163.3688488
2015-11-15,3583,3507.8849788,650.86726571,2232.2085793,4783.5613783,75.115021195
2015-11-22,2378,3701.1787104,650.86726571,2425.5023109,4976.8551099,-1323.17871
2015-11-29,3574,2780.550463,650.86726571,1504.8740635,4056.2268625,793.44953701
2015-12-06,3229,3694.3026488,650.86726571,2418.6262493,4969.9790483,-465.3026488
2015-12-13,3147,3430.7202875,650.86726571,2155.043888,4706.396687,-283.7202875
2015-12-20,2120,3368.0717263,650.86726571,2092.3953268,4643.7481258,-1248.071726
2015-12-27,5659,2583.4366972,650.86726571,1307.7602976,3859.1130967,3075.5633028
2016-01-03,6584,5287.2569193,650.86726571,4011.5805198,6562.9333188,1296.7430807
2016-01-10,4032,5993.9632503,650.86726571,4718.2868508,7269.6396498,-1961.96325
2016-01-17,3295,4044.2177835,650.86726571,2768.541384,5319.894183,-749.2177835
2016-01-24,3406,3481.1447393,650.86726571,2205.4683397,4756.8211388,-75.14473925
2016-01-31,3340,3565.949499,650.86726571,2290.2730995,4841.6258985,-225.949499
2016-02-07,2961,3515.5250472,650.86726571,2239.8486477,4791.2014468,-554.5250472
2016-02-14,3279,3225.9664532,650.86726571,1950.2900537,4501.6428528,53.033546757
2016-02-21,3558,3468.9206297,650.86726571,2193.2442302,4744.5970293,89.079370256
2016-02-28,3243,3682.0785393,650.86726571,2406.4021398,4957.7549388,-439.0785393
2016-03-06,3600,3441.4163833,650.86726571,2165.7399838,4717.0927829,158.58361665
2016-03-13,3309,3714.1668268,650.86726571,2438.4904273,4989.8432263,-405.1668268
2016-03-20,3421,3491.8408351,650.86726571,2216.1644356,4767.5172346,-70.84083507
2016-03-27,4256,3577.4096016,650.86726571,2301.7332021,4853.0860011,678.59039836
2016-04-03,3985,4215.3553167,650.86726571,2939.6789172,5491.0317162,-230.3553167
2016-04-10,3049,4008.3094618,650.86726571,2732.6330623,5283.9858614,-959.3094618
2016-04-17,2782,3293.1990555,650.86726571,2017.522656,4568.8754551,-511.1990555
2016-04-24,3874,3089.2092281,650.86726571,1813.5328286,4364.8856276,784.79077189
2016-05-01,4584,3923.5047021,650.86726571,2647.8283026,5199.1811016,660.49529787
2016-05-08,4456,4465.9495616,650.86726571,3190.2731621,5741.6259611,-9.949561611
2016-05-15,4623,4368.1566855,650.86726571,3092.480286,5643.833085,254.84331447
2016-05-22,4913,4495.7458285,650.86726571,3220.069429,5771.422228,417.25417146
2016-05-29,4647,4717.3078134,650.86726571,3441.6314139,5992.9842129,-70.3078134
2016-06-05,5328,4514.0819928,650.86726571,3238.4055933,5789.7583923,813.9180072
2016-06-12,4891,5034.3706538,650.86726571,3758.6942543,6310.0470533,-143.3706538
2016-06-19,4702,4700.4996628,650.86726571,3424.8232633,5976.1760623,1.5003371763
