DATE_WEEK_START,VOLUME,FORECAST,STD,L95,U95,RESIDUAL
2020-03-29,2450,1487,800.56925272,-82.08690247,3056.0869025,963
2020-04-05,2307,1489,800.56925272,-80.08690247,3058.0869025,818
2020-04-12,2766,1777,800.56925272,207.91309753,3346.0869025,989
2020-04-19,2894,3827,800.56925272,2257.9130975,5396.0869025,-933
2020-04-26,2897,2480,800.56925272,910.91309753,4049.0869025,417
2020-05-03,2964,2821,800.56925272,1251.9130975,4390.0869025,143
2020-05-10,2672,2987,800.56925272,1417.9130975,4556.0869025,-315
2020-05-17,3270,2678,800.56925272,1108.9130975,4247.0869025,592
2020-05-24,2981,3393,800.56925272,1823.9130975,4962.0869025,-412
2020-05-31,3632,3745,800.56925272,2175.9130975,5314.0869025,-113
2020-06-07,3952,3579,800.56925272,2009.9130975,5148.0869025,373
2020-06-14,4082,3566,800.56925272,1996.9130975,5135.0869025,516
2020-06-21,4199,4240,800.56925272,2670.9130975,5809.0869025,-41
2020-06-28,3235,3405,800.56925272,1835.9130975,4974.0869025,-170
2020-07-05,4665,4456,800.56925272,2886.9130975,6025.0869025,209
2020-07-12,4761,4249,800.56925272,2679.9130975,5818.0869025,512
2020-07-19,5332,4989,800.56925272,3419.9130975,6558.0869025,343
2020-07-26,4767,5176,800.56925272,3606.9130975,6745.0869025,-409
2020-08-02,4085,4737,800.56925272,3167.9130975,6306.0869025,-652
2020-08-09,4091,3809,800.56925272,2239.9130975,5378.0869025,282
2020-08-16,3950,3913,800.56925272,2343.9130975,5482.0869025,37
2020-08-23,4166,3893,800.56925272,2323.9130975,5462.0869025,273
2020-08-30,4096,3775,800.56925272,2205.9130975,5344.0869025,321
2020-09-06,3239,4365,800.56925272,2795.9130975,5934.0869025,-1126
2020-09-13,4044,3555,800.56925272,1985.9130975,5124.0869025,489
2020-09-20,3972,3321,800.56925272,1751.9130975,4890.0869025,651
2020-09-27,3448,3952,800.56925272,2382.9130975,5521.0869025,-504
2020-10-04,3497,3475,800.56925272,1905.9130975,5044.0869025,22
2020-10-11,3291,2849,800.56925272,1279.9130975,4418.0869025,442
2020-10-18,3309,3586,800.56925272,2016.9130975,5155.0869025,-277
2020-10-25,3244,2812,800.56925272,1242.9130975,4381.0869025,432
2020-11-01,3488,3273,800.56925272,1703.9130975,4842.0869025,215
2020-11-08,3657,2994,800.56925272,1424.9130975,4563.0869025,663
2020-11-15,3349,4563,800.56925272,2993.9130975,6132.0869025,-1214
2020-11-22,2219,2014,800.56925272,444.91309753,3583.0869025,205
2020-11-29,864,3638,800.56925272,2068.9130975,5207.0869025,-2774
2020-12-06,,541,800.56925272,-1028.086902,2110.0869025,
2020-12-13,,-49,1132.1758948,-2268.023978,2170.023978,
2020-12-20,,-754,1386.6266207,-3471.738237,1963.7382366,
2020-12-27,,65,1601.1385054,-3073.173805,3203.1738049,
2021-01-03,,696,1790.1272698,-2812.584977,4204.5849765,
2021-01-10,,-65,1960.9861729,-3908.462273,3778.4622731,
2021-01-17,,604,2118.10715,-3547.413729,4755.4137294,
2021-01-24,,238,2264.3517896,-4200.047956,4676.047956,
2021-01-31,,192,2401.7077582,-4515.260707,4899.2607074,
2021-02-07,,-120,2531.6222633,-5081.888459,4841.8884585,
2021-02-14,,0,2655.18783,-5204.072519,5204.0725189,
2021-02-21,,73,2773.2532414,-5362.476473,5508.4764731,
2021-02-28,,1108,2886.4934903,-4549.423283,6765.4232825,
2021-03-07,,773,2995.4558581,-5097.985599,6643.9855991,
2021-03-14,,-445,3100.5913833,-6522.047442,5632.047442,
2021-03-21,,-1599,3202.2770109,-7875.34761,4677.3476099,
2021-03-28,,-681,3300.8315896,-7150.511035,5788.5110346,
2021-04-04,,-824,3396.5276845,-7481.071934,5833.071934,
2021-04-11,,-365,3489.6004699,-7204.491241,6474.4912415,
2021-04-18,,-237,3580.2545396,-7254.169953,6780.169953,
2021-04-25,,-234,3668.6691997,-7424.459503,6956.4595025,
2021-05-02,,-167,3755.0026398,-7526.669936,7192.6699359,
2021-05-09,,-459,3839.3952588,-7984.07643,7066.0764297,
2021-05-16,,139,3921.9723459,-7547.924546,7825.9245463,
2021-05-23,,-150,4002.8462636,-7995.434512,7695.4345123,
2021-05-30,,501,4082.1182416,-7499.804734,8501.8047342,
2021-06-06,,821,4159.8798621,-7332.21471,8974.2147097,
2021-06-13,,951,4236.2143,-7351.827459,9253.8274587,
2021-06-20,,1068,4311.1973654,-7381.791566,9517.7915665,
2021-06-27,,104,4384.8983856,-8490.242912,8698.2429117,
2021-07-04,,1534,4457.3809553,-7202.306138,10270.306138,
2021-07-11,,1630,4528.7035793,-7246.095912,10506.095912,
2021-07-18,,2201,4598.9202252,-6812.718009,11214.718009,
2021-07-25,,1636,4668.0808011,-7513.270247,10785.270247,
2021-08-01,,954,4736.231571,-8328.843302,10236.843302,
